Project ID,Recipient-ID,Recipient Name,State/Territory,Reporting Tier,Recipient Type,Completion Status,Project Name,Expenditure Category Group,Expenditure Category,Project Description,Total Cumulative Obligations,Total Cumulative Expenditures
TPN-044156,RCP-016304,"Wheeling Village, IL",Illinois,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Fire Station 24,6-Revenue Replacement,6.1-Provision of Government Services,Funds will be used to build a new fire station 42.  The fire station is being relocated to the northwest quadrant of the community to better serve the community's emergency service needs.,"$5,259,127","$5,259,127"
TPN-266074,RCP-055845,"Polo City, IL",Illinois,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New City Hall Building,7-Administrative,7.1-Administrative Expenses,"""The City of Polo purchased a piece of property, excavated the property from cement grain bins, and built a new City Hall building.  ""","$115,940","$115,940"
TPN-250107,RCP-018117,"Knoxville City, IL",Illinois,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New City Hall Annex,6-Revenue Replacement,6.1-Provision of Government Services,construct new City Hall annex,"$143,805","$143,805"
TPN-230045,RCP-015811,"Leonore Village, IL",Illinois,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Municipal Building,6-Revenue Replacement,6.1-Provision of Government Services,The funds were used for new Municipal Building.,"$16,738","$16,738"
TPN-225819,RCP-039876,"Jasper County, IL",Illinois,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Jail-Construction Final Payment,6-Revenue Replacement,6.1-Provision of Government Services,This expense covers a portion of the construction costs for the new jail that the county had built.,"$212,898","$212,898"
TPN-276407,RCP-039460,"Washington County, IL",Illinois,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New Ambulance Department,6-Revenue Replacement,6.1-Provision of Government Services,Construction of New Ambulance Department,"$1,448,689","$1,448,689"
TPN-139876,RCP-039101,"New Albany, Indiana",Indiana,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Police Station Construction,6-Revenue Replacement,6.1-Provision of Government Services,To pay for a portion of the costs to design and construct a new police station in the City.,"$2,000,000","$2,000,000"
TPN-126371,RCP-046887,"Chesterton Town, IN",Indiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Chesterton Police Station,6-Revenue Replacement,6.1-Provision of Government Services,Construction of new Police Station for the Town of Chesterton.  This project will improve public safety without funding that will put additional stress on the tax base.,"$3,192,723","$3,192,723"
TPN-131939,RCP-046873,"Burlington Town, IN",Indiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Construction of New Town Hall,6-Revenue Replacement,6.1-Provision of Government Services,The town council chose to utilize the entire amount of ARPA grant monies awarded for government services towards one project - the construction of a new town hall.  The town previously leased office space.  The previous location was not well insulated and did not comply with requirements for a secured police department in regards to evidence storage and interview space.  The new town hall serves all residents of the town by providing a building that is owned by the taxpayers and that is the central hub for all town government services offered to residents.,"$136,883","$136,883"
TPN-139724,RCP-047005,"Macy Town, IN",Indiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Fire Station,7-Administrative,7.2-Transfers to Other Units of Government,Building new Fire Station,"$45,014","$45,014"
TPN-218628,RCP-052987,"New Chicago Town, IN",Indiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed less than 50%,New Town Hall,7-Administrative,7.1-Administrative Expenses,Building a new Town Hall and removing the existing Town Hall.,"$405,909","$31,227"
TPN-147257,RCP-046937,"Frankfort City, IN",Indiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Construction of New Frankfort Police Station,6-Revenue Replacement,6.1-Provision of Government Services,"Construction of a new police station building to replace an older, outdated facility.","$1,025,587","$1,025,587"
TPN-231051,RCP-014780,"St. Paul Town, IN",Indiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,FIRE STATION,6-Revenue Replacement,6.1-Provision of Government Services,"BRAND NEW FIRE STATION BUILD , THE FUNDS WERE PAID TO THE CONTSRUCTION COMPANY FOR THE NEW FIRE STATION BUILDING","$121,131","$121,131"
TPN-204234,RCP-047000,"Long Beach Town, IN",Indiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Government Services,6-Revenue Replacement,6.1-Provision of Government Services,Government Expenses.  New Public Safety Building.,"$12,259","$12,259"
TPN-057298,RCP-038618,"Pike County, IN",Indiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,CONSTRUCTION OF A PIKE COUNTY AMBULANCE STATION & STORAGE FACILITY,6-Revenue Replacement,6.1-Provision of Government Services,"PIKE COUNTY IS BUILDING A NEW AMBULANCE STATION .  COUNTY  CURRENTLY RENTS SPACE FOR OUR SOUTHERN EMS STATION. THE INCORPORATION OF THIS SPACE INTO THIS BUILDING WILL PROVIDE A DEDICATED SPACE FOR EMS IN THE COUNTY'S SOTHERN REGION.  COUNTY IS UTILIZING THE BUDGET FOR THIS ITEM PLUS INTEREST FROM INVESTING A PORTION OF THE SLFRF FUNDS, PLUS LATCF FUNDS, PLUS COUNTY ECONOMIC DEVELOPMENT FUNDS TO BUILD A 1,000,000 EMS BUILDING.","$805,000","$410,540"
TPN-261802,RCP-046851,"Avon Town, IN",Indiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,AVON CIVIC CENTER,6-Revenue Replacement,6.1-Provision of Government Services,CONSTRUCTION OF A NEW GOVERNMENT BUILDING TO ACCOMADATE A GROWING COMMUNITY. FUNDS WILL BE USED IN CONSTRUCTION COSTS,"$4,239,287",$0
TPN-270223,RCP-047039,"Nappanee City, IN",Indiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed less than 50%,Nappanee Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,Construction of new fire station.,"$128,737","$128,737"
TPN-283733,RCP-046937,"Frankfort City, IN",Indiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,Architectural and pre-construction services for new fire station.,"$250,941","$250,941"
TPN-117914,RCP-040310,"Johnson County, Indiana",Indiana,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Mental Health Facility Design,6-Revenue Replacement,6.1-Provision of Government Services,Design costs for new mental health facility in Johnson County.,"$544,364","$544,364"
TPN-267250,RCP-055658,"Coulter City Of, IA",Iowa,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,New Fire Station,"$39,325","$39,325"
TPN-149588,RCP-055258,"Fairfield City Of, IA",Iowa,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed less than 50%,Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,Building a new fire station which will also house the Emergency Services Coordinator.,"$1,308,777","$4,003"
TPN-206333,RCP-055689,"North Liberty City Of, IA",Iowa,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,DVIP Building Fund,6-Revenue Replacement,6.1-Provision of Government Services,Contribution toward the construction of a new shelter for the Domestic Violence Intervention Project.  The City would have typically used social service funding to make this contribution.,"$25,000","$25,000"
TPN-291551,RCP-055481,"Martinsburg City Of, IA",Iowa,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,New City Hall,6-Revenue Replacement,6.1-Provision of Government Services,New City Hall,"$16,298","$16,298"
TPN-077133,RCP-039467,"Dubuque, Iowa",Iowa,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Field of Dreams,6-Revenue Replacement,6.1-Provision of Government Services,Contribution to Travel Dubuque for portion of the new stadium to be built at the Field of Dreams.,"$1,000,000","$1,000,000"
TPN-139796,RCP-036073,"Wichita City, Kansas",Kansas,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Patrol East Police Station,6-Revenue Replacement,6.1-Provision of Government Services,"Project is for replacement of one of two Police stations with ARPA funds.  The Wichita Police Department currently operates from four police stations, which were opened over 30 years ago.  Due to increased staffing levels, all stations exceed capacity, particularly when social distancing measures are considered.  \n\nOne of the criteria used to determine the site selection of the next Patrol East station considered the neighborhood impact a new station would have. The goal is that the presence of a new police station will improve the perception of safety within this underserved neighborhood.","$9,578,885","$9,578,885"
TPN-039712,RCP-036070,"Lexington-Fayette Urban County, Kentucky",Kentucky,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Village Branch Library Construction - Lexington Public Library,2-Negative Economic Impacts,2.22-Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,"The $1 million allocation partially funded a new public library facility along a major corridor in Lexington. This ARPA allocation was used for construction of the new facility.  \n\nThe neighborhood surrounding the new Library is approximately 40% Latinx, 30% Black American, and 30% White (according to US Census), making it one of Lexington's most racially and culturally diverse areas.  Lexington Public Library is committed to equity in all areas, offering free resources to everyone who lives or works in Fayette County.  In developing the new library facility here, we will deliver additional resources for residents within this Qualified Census Tract.  Plans call for a dedicated classroom and hands-on learning space both of which will support school-aged and adult learning.  Computers, internet, technology, and reading materials all support economic development by providing library customers with information and resources they need to succeed.  While all Lexington residents will benefit from this new facility, it will especially benefit those within the Cardinal Valley/Versailles Road area.\n\nDue to portal changes regarding validation of obligations within a period, an adjustment was made in Q4 2023 removing expenditures that were included in obligations of previous quarters.","$1,000,000","$1,000,000"
TPN-278532,RCP-015265,Midway city,Kentucky,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,New EMS Station,6-Revenue Replacement,6.1-Provision of Government Services,"New EMS station was necessary, so all ARPA funds were moved to help cover the cost","$496,093","$496,093"
TPN-276368,RCP-036740,"Grayson County, KY",Kentucky,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,EMS BUILDING,6-Revenue Replacement,6.1-Provision of Government Services,"COUNTY USED $24,375.86 TO BUILD A NEW EMS BUILDING.","$24,376","$24,376"
TPN-271630,RCP-039775,"Meade County, KY",Kentucky,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,Animal Shelter,6-Revenue Replacement,6.1-Provision of Government Services,This project is for construction of a new animal shelter including dirt work and design.   This project will be located in the county and easily accessible to the public.  This project will be larger and hold more animals in a climiate control setting.  This project will have rooms for community participation.  The animal shelter is run by Meade County Fiscal Court.,"$392,225","$337,995"
TPN-129332,RCP-015290,North Middletown city,Kentucky,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed less than 50%,N Middletown Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,Funds obligated to help fund construction of new fire station.,"$157,890","$14,025"
TPN-283525,RCP-053102,"Boyle County,",Kentucky,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Boyle County Fire Department,6-Revenue Replacement,6.1-Provision of Government Services,"The County used its ARPA funds to develop a new fire station in an un-served area known as ""Station No. 9.""  The project provided new service to residents that previously did not have fire service.  It also served a state prison that previously did not have fire service.","$350,000","$350,000"
TPN-141700,RCP-038760,"Hopkins County, KY",Kentucky,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Nebo Fire Department Building,1-Public Health,1.14-Other Public Health Services,"We provided the Nebo Fire Department with the funds necessary to construct a new building, which will replace its aging one.","$100,000","$100,000"
TPN-218803,RCP-039491,"Whitley County, KY",Kentucky,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Revenue Replacement - Fairgrounds Shelter,6-Revenue Replacement,6.1-Provision of Government Services,The construction of a new shelter structure to be built at the Whitley County Fairgrounds to provide enhanced recreational facilities for County residents and administrative and legal expenses.,"$269,927","$269,927"
TPN-254502,RCP-039602,"Madison County, Kentucky",Kentucky,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Not Started,Fire Station,1-Public Health,1.14-Other Public Health Services,"The construction of a new fire station in Northern Madison County is a critical investment in public safety and infrastructure that aligns directly with the goals of the American Rescue Plan Act (ARPA). This proposal should address urgent needs in the region, strengthen community resilience, and provide lasting benefits to residents.\n\nSouthern Madison Water District's project came in under budget.  Accordingly, the County re-allocated money from Southern Madison Water District to fund its fire station construction project.  Both projects were fully obligated prior to December 31, 2024.","$2,390,400",$0
TPN-138347,RCP-039775,"Meade County, KY",Kentucky,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,EMS Station #3,6-Revenue Replacement,6.1-Provision of Government Services,This project designed and built a new EMS Station for the citizens of Meade County and purchased and installed necessary appliances and septic tank and pump.  The project also included the purchase and installation of a bronze plaque commemorating the project. The station will provide ambulance coverage 24/7 along with full-time EMT and Paramedics.,"$740,388","$740,388"
TPN-130619,RCP-015396,Villa Hills city,Kentucky,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Firehouse,6-Revenue Replacement,6.1-Provision of Government Services,Funds used to pay for cost overruns caused by COVID related supply chain and labor issues during the construction of a new firehouse to provide fire and emergency medical services to the residents and business of Villa Hills.,"$1,100,000","$1,100,000"
TPN-284889,RCP-006739,"Creola, LA",Louisiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Construction of Municipal Building,6-Revenue Replacement,6.1-Provision of Government Services,"Construction of a new municipal building for the Village of Creola town hall. This building houses the Mayor's office, Town Clerk's office, Police Department, and meeting room for council meetings and Mayor's court.","$84,093","$84,093"
TPN-042232,RCP-007015,"Ruston, LA",Louisiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,FIRE STATION #2,6-Revenue Replacement,6.1-Provision of Government Services,CONSTRUCTION OF NEW FIRE STATION TO REPLACE EXISTING OBSOLETE STATION IN RAPIDLY GROWING AREA OF THE CITY OF RUSTON.,"$4,121,188","$2,675,208"
TPN-286969,RCP-007005,"Reeves, LA",Louisiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Town Hall/Police Department,6-Revenue Replacement,6.1-Provision of Government Services,Construction for the new town hall and police department.,"$24,380","$24,380"
TPN-275837,RCP-006771,"Florien, LA",Louisiana,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Not Started,Village of Florien New Town Hall,10-Title I,10.24-Construction or improvement of tornado-safe-shelters and assistance to nonprofit and for-profit entities for such construction or improvement,"Construct a New Town Hall which will contain offices for public officials and staff, as well as offices for the Public Works Department.  The facility will contain a ""safe room"" serving as a Communication and Emergency Operations Center designed in accordance with FEMA-P361. A separate area will be designated for the Utility Department along with an area to hold town meetings. Adequate space will be provided for proper storage of relevant documents, and the facility will contain a warming kitchen to accommodate food service.  This project will be designed to comply with ADA accessibility guidelines, and the facility will conform to the current state building codes, other applicable codes, requirements, and regulations.","$221,902",$0
TPN-250670,RCP-035885,"Howard County, Maryland",Maryland,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Not Started,Emergency Shelter Facility at Lynn Buff Court,2-Negative Economic Impacts,2.2-Household Assistance: Rent Mortgage and Utility Aid,"Howard County plans to use State and Local Fiscal Recovery Funds (SLFRF) funding for the construction of a night-by-night non-congregate emergency shelter. The shelter will be built at 9530 Lynn Buff Court in Laurel, MD, and will have 20 rooms, each with a private bathroom, and will provide a safe sleeping space for unsheltered individuals. Currently, there is only one emergency shelter in the County and the construction of the new Emergency Shelter will expand the capacity to serve the growing unhoused population. \nThe Bureau of Facilities of the County\u2019s Department of Public Works is spearheading this project and will oversee the construction of the emergency shelter building.\n\nIntended Outcomes\n\u2022\tTo increase the number of beds available to the unhoused population.\n\u2022\tTo have multiple night-by-night Emergency Shelters in Howard County.","$2,321,077",$0
TPN-184491,RCP-036189,Commonwealth Of Massachusetts,Massachusetts,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",State/DC,Cancelled,Boston Centers for Youth & Families,6-Revenue Replacement,6.1-Provision of Government Services,Massachusetts has allocated $20 million to Boston Centers for Youth & Families for constructing a new community center in Boston.,$0,$0
TPN-233480,RCP-037517,"Brockton, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,Public Safety Building Emergency Operations Center,3-Public Health-Negative Economic Impact: Public Sector Capacity,3.4-Public Sector Capacity: Effective Service Delivery,"The Brockton Emergency Operations Center (EOC) is a component of the City's new Public Safety Building, which is expected to be complete in August 2025. The EOC addresses multiple areas of need in Brockton by combining the operations of the Police, Fire, IT,  and Emergency Management departments. The current location of Brockton's existing EOC is inadequate to handle local disaster response.","$697,231","$229,237"
TPN-122418,RCP-031351,"Greenfield, MA",Massachusetts,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Fire Station Build,6-Revenue Replacement,6.1-Provision of Government Services,Building a new fire station for the City of Greenfield to improve the service level and modernization of facilities and services.,"$2,000,000","$2,000,000"
TPN-219397,RCP-039187,"Somerville, Massachusetts",Massachusetts,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,ASQ Fire,6-Revenue Replacement,6.1-Provision of Government Services,"The City needs to build a new fire station in the Assembly Square area as a result of the massive amount of development that has occurred in that area in recent years. This project will provide funding for building that fire station sooner than otherwise would be possible. The City has a responsibility to provide safe and comfortable space for its firefighters, as they are on the front lines of emergency response throughout the City.","$1,958,111","$1,945,527"
TPN-197169,RCP-031555,"Wilmington, MA",Massachusetts,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Senior Center Building Project,6-Revenue Replacement,6.1-Provision of Government Services,This project is the ARPA portion of the new Senior Center being built.,"$1,800,000","$1,800,000"
TPN-144322,RCP-031469,"Richmond, MA",Massachusetts,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Town Hall/Library Building,6-Revenue Replacement,6.1-Provision of Government Services,To help pay for portion of new construction of new Town Hall/Library building.,"$287,350","$287,350"
TPN-207908,RCP-003455,"Ray Township, MI",Michigan,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed less than 50%,Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,Costs incurred in preparing and building the new fire station. There are a lot of fees that have gone into the planning and beginning stages of the project including putting the driveway in during last reporting year.,"$426,555","$426,555"
TPN-273823,RCP-014036,"Claybanks Township, MI",Michigan,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Town Hall,6-Revenue Replacement,6.1-Provision of Government Services,new town hall construction,"$81,549","$20,000"
TPN-203568,RCP-013935,"Village Of Constantine, MI",Michigan,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Not Started,Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,The project consists of demolishing a structure on the site of the new fire station and then to demolish the existing fire station after construction of the new fire station.,"$62,467",$0
TPN-142574,RCP-004187,"Grand Blanc Charter Township, MI",Michigan,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed less than 50%,Fire Station #1 Project,6-Revenue Replacement,6.1-Provision of Government Services,Build new Fire Station on the municipal campus to better serve the residents of the community.,"$1,294,168","$791,895"
TPN-148644,RCP-014172,"Oxford Charter Township, MI",Michigan,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Fire Station #3,6-Revenue Replacement,6.1-Provision of Government Services,"These funds were used for preliminary work to help construct a new fire station in Oxford Township. Currently, the township has two fire stations: One located near the center of town while the other is located west of town. This new fire station will be located north of town.","$418,946","$418,946"
TPN-195451,RCP-027368,"Alberta Township, MN",Minnesota,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Town Hall,6-Revenue Replacement,6.1-Provision of Government Services,Construction of new town hall and equipment storage.,"$91,552","$91,552"
TPN-057493,RCP-004624,"Homer Township, MN",Minnesota,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Cancelled,New Building,6-Revenue Replacement,6.1-Provision of Government Services,Allocate SLFRF funds towards construction of a new town hall building,$0,$0
TPN-105523,RCP-036149,"Dakota County, Minnesota",Minnesota,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed 50% or more,South St Paul Library,2-Negative Economic Impacts,2.37-Economic Impact Assistance: Other,"The library construction project will create the County\u2019s tenth branch library location at at 131 7th Ave. N. within the City of South St. Paul.  The 16,100 square foot building has the support of local stakeholders. It will include meeting rooms, workspaces and technology not available at the almost 100-year old library which it will replace.  The new building will improve access to services for a community that is on average lower income and more diverse than the county and the state as a whole.  The services the library will offer will greatly benefit the residents of South St. Paul, all of Dakota County, and surrounding areas.  This new library, part of the Dakota County Library system, will respond to critical needs in the community, including in the areas of health care, employment, and workforce development.  The new building will also provide public access to the internet for purposes including work, education, and health monitoring.  Design began in August of 2021 and will continue with administrative support through construction.  Construction began on September 29th, 2022 and will conclude into late 2023.  Internal fit out and collection installation will occur in early 2024 with a Q1-24 public opening.","$10,470,499","$9,456,583"
TPN-211267,RCP-027404,"Twin Lakes Township, MN",Minnesota,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Twin Lakes Town Hall,6-Revenue Replacement,6.1-Provision of Government Services,Construction of a new town hall building to provide goverment services.,"$239,110","$239,110"
TPN-053574,RCP-004590,"Folden Township, MN",Minnesota,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New town hall,6-Revenue Replacement,6.1-Provision of Government Services,Town board approved ARPA money to be spent on building a new town hall building.,"$32,785","$32,785"
TPN-057436,RCP-037286,"Steele County, MN",Minnesota,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Community Corrections Building Addition,6-Revenue Replacement,6.1-Provision of Government Services,The Board approved to build a new building next to the County Attorney's building to house the Community Corrections department for better efficiency.,"$2,650,000","$2,650,000"
TPN-238273,RCP-037742,"Lafayette County, Mississippi",Mississippi,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Animal Shelter,6-Revenue Replacement,6.1-Provision of Government Services,Construction of new animal shelter,"$350,000","$350,000"
TPN-099701,RCP-036080,"County Of Greene, Missouri",Missouri,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Ozark Empire Fair New Arena & Youth Education Center,6-Revenue Replacement,6.1-Provision of Government Services,"The Ozark Empire Fairgrounds New Arena and Youth Agricultural Education center will serve people in Greene County and throughout the Ozarks by offering a space for entertainment, events, community organizations, youth organizations, sporting events, and educational opportunities. The center will include a seating capacity of 6,200, restaurant and large meeting area, 93,000 square foot arena, and a 30,000 square foot lower-level Youth Education Center. Further, the center provides an enhanced space for crisis responses and community outreach. Previously, OEFEC has provided their facilities for COVID-19 vaccinations and testing.\n\tThe construction of the new facility will provide jobs for people working in a variety of different sectors. Further, the arena will create additional employment for the local workforce due to the need for employees to help with its operations. Currently, OEFEC hosts hundreds of events annually, infusing millions of dollars into the economy. Once completed, this project will boost revenues in the economy by hosting trade shows, indoor winter events, indoor festivals, livestock shows, motorsports, roller derbies, and rodeos.  Funding will go toward the portion of construction for youth education, emergency crisis response, and community meeting spaces.  These funds are coming from the County's loss revenue designation because this recipient serves the County's underserved rural population. \nClose to 42% of the County's population resides outside of Springfield, MO.","$5,000,000","$5,000,000"
TPN-140200,RCP-054109,"Hunnewell City, MO",Missouri,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Provision of Government Services,6-Revenue Replacement,6.1-Provision of Government Services,A new city hall facility.,"$35,245","$35,245"
TPN-203570,RCP-054287,"Calhoun City, MO",Missouri,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New City Hall,6-Revenue Replacement,6.1-Provision of Government Services,Revenue Replacement 6.1 - Construction of a New City Hall to provide all governmental services performed by the City of Calhoun.,"$34,798","$34,798"
TPN-200057,RCP-036113,"St Joseph, Missouri",Missouri,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Hillyards,2-Negative Economic Impacts,2.32-Business Incubators and Start-Up or Expansion Assistance,Construction of new building to increase the education and training capacity at Hillyard Technical Center.  The facility allows student to cross train on different aspects of manufacturing in current manufacturing environments.  It will allow an expansion of Health Care programs to address the shortage of students entering the health care professions.  It also offers the opportunity to unemployed/underemployed to train and improve skills to advance in careers.,"$813,052","$813,052"
TPN-051713,RCP-054046,"Ballwin City, MO",Missouri,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Ballwin Police Station,6-Revenue Replacement,6.1-Provision of Government Services,"The City is constructing a new police station to provide policing services to its population of 31,103 and the neighboring city of Winchester's population of 1,447 which is serviced under a contractual agreement.    The current building has structural deficiencies, outdated systems and an unsafe sally port. The new building will facilitate more efficient operations, better protection for equipment and serve as an emergency operations center.","$6,128,606","$6,128,606"
TPN-213348,RCP-054197,"Frankford City, MO",Missouri,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,New City Hall,6-Revenue Replacement,6.1-Provision of Government Services,New City Hall,"$48,503","$21,697"
