Project ID,Recipient-ID,Recipient Name,State/Territory,Reporting Tier,Recipient Type,Completion Status,Project Name,Expenditure Category Group,Expenditure Category,Project Description,Total Cumulative Obligations,Total Cumulative Expenditures
TPN-264778,RCP-023351,"Canton Township, PA",Pennsylvania,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,Municipal Garage,6-Revenue Replacement,6.1-Provision of Government Services,"Construction of new municipal garage was completed due to loss of structure on February 5, 2021 due to fire. Funds assisted in the construction of new structure and replacement of (2) trucks and (3) pieces of road equipment lost in fire. This was needed to continue to operate the road works department of Canton Township. Funds were obligated under Revenue Replacement eligible category.","$219,660","$219,660"
TPN-201450,RCP-022336,"Richhill Township, PA",Pennsylvania,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Richhill Township Municipal Building,6-Revenue Replacement,6.1-Provision of Government Services,The township is building a new municipal building complex.  \nThe township has currently outgrown its current facility,"$34,406","$34,406"
TPN-262464,RCP-002051,"Town Of Olanta, SC",South Carolina,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Olanta Revenue Replacement,6-Revenue Replacement,6.1-Provision of Government Services,"The Olanta Town Council accepted the SLFRF funds for revenue replacement to be used for government services.  The funds were expended during the calendar year of 2024 on the Town's new community center located in downtown Olanta, S.C.","$277,299","$277,299"
TPN-115144,RCP-014706,"City Of Greer, South Carolina",South Carolina,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Suber Road Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,Build a new fire station.,"$9,101,182","$9,101,182"
TPN-280576,RCP-039523,"Saluda County, SC",South Carolina,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,,EMS,6-Revenue Replacement,6.1-Provision of Government Services,Construct new EMS Station in a low income rural area.,"$1,028,021","$1,028,021"
TPN-184343,RCP-036882,"North Charleston City, South Carolina",South Carolina,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,NCPD Evidence Facility,6-Revenue Replacement,6.1-Provision of Government Services,Construction of a new evidence facility for Police,"$7,000,000","$1,755,909"
TPN-240906,RCP-036882,"North Charleston City, South Carolina",South Carolina,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,Gethseme Park New Facility,2-Negative Economic Impacts,2.22-Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,New Community Center in Low Income Neighborhood used for various reasons included public safety and community promotions.,"$3,500,000","$119,324"
TPN-240899,RCP-036882,"North Charleston City, South Carolina",South Carolina,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,Wye Lane Community Center,2-Negative Economic Impacts,2.22-Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,New Community Center in Low Income Neighborhood used for various reasons included public safety and community promotions.,"$3,000,000","$852,930"
TPN-071483,RCP-039119,"Johnson City, Tennessee",Tennessee,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed 50% or more,Fire Station - New Construction,6-Revenue Replacement,6.1-Provision of Government Services,Construction of new Fire Station,"$500,000","$500,000"
TPN-082661,RCP-038243,"Carter County, Tennessee",Tennessee,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Hampton Volunteer Fire Department Building Project,6-Revenue Replacement,6.1-Provision of Government Services,"To provide part of the funding needed for the Hampton Volunteer Fire Department to build a new facility, replacing the existing structure that is no longer suitable for that operation.","$150,000","$150,000"
TPN-120936,RCP-038427,"Sullivan County, Tennessee",Tennessee,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Indian Springs VFD,6-Revenue Replacement,6.1-Provision of Government Services,The Indian Springs Volunteer Fire Department is a new fire station. The station was necessary in order to keep up with the increase in calls due to COVID related instances. The new equipment is necessary to outfit the station with the items needed to run the station properly. The Indian Springs VFD provides emergency services along with the rescue squads in Sullivan County.,"$45,518","$45,518"
